date,symbol,volume,transaction,open,high,low,close
2025-12-08,8110,54707726,23333,40.45,43.55,40.45,43.55
2025-12-08,3481,54291141,12375,14.45,14.55,14.1,14.2
2025-12-08,3037,53880320,44594,215.5,224.0,212.0,220.5
2025-12-08,00953B,49122270,9394,9.63,9.65,9.6,9.61
2025-12-09,2344,595084386,245923,71.0,71.6,66.9,71.3
2025-12-09,2337,282963195,107106,37.6,39.45,37.35,38.75
2025-12-09,6770,261044778,94430,34.65,35.5,34.3,35.3
2025-12-09,1802,231810942,103641,38.25,39.95,37.05,39.9
2025-12-09,8110,206840432,101367,45.9,47.9,44.0,47.9
2025-12-09,2485,99252050,37337,25.2,27.55,24.4,27.55
2025-12-09,3231,95837980,52113,153.5,154.0,149.5,149.5
2025-12-09,1303,91971053,50880,62.1,62.9,60.5,62.1
2025-12-09,3037,72841341,105619,221.5,234.0,221.5,226.0
2025-12-09,00981A,66800550,14569,16.09,16.22,16.04,16.06
2025-12-09,2884,62333143,20657,32.45,32.55,32.0,32.1
2025-12-09,8150,61705952,36300,45.35,48.5,45.0,47.3
2025-12-09,8039,58345879,54056,86.3,94.0,85.8,94.0
2025-12-09,2317,54359440,42902,233.0,236.5,232.0,235.0
2025-12-09,0050,50671148,49273,63.8,63.85,63.55,63.6
2025-12-09,2883,50154353,10571,16.15,16.3,16.1,16.3
2025-12-09,2887,49134594,7850,19.1,19.25,19.05,19.25
2025-12-09,3481,48713397,10056,14.15,14.2,13.8,13.95
2025-12-09,1605,47514608,21894,31.15,31.7,30.7,30.7
2025-12-09,00919,47370031,17718,21.94,21.98,21.9,21.94
2025-12-10,2344,408320544,202542,71.0,73.4,67.3,67.5
2025-12-10,1802,298512467,132596,40.1,41.75,37.75,38.25
2025-12-10,6770,259847330,105547,35.8,36.5,34.2,34.7
2025-12-10,8110,203271416,96524,50.0,51.7,48.35,49.25
2025-12-10,2337,171164435,81575,39.0,39.6,36.5,37.0
2025-12-10,2485,154143647,57629,26.5,29.1,25.5,25.85
2025-12-10,00981A,89635676,17242,16.09,16.36,16.07,16.33
2025-12-10,2883,80008607,13512,16.4,16.75,16.4,16.4
2025-12-10,8021,74215010,59833,139.5,151.5,138.5,151.5
2025-12-10,1303,72310843,40785,62.6,63.7,61.1,61.4
2025-12-10,00919,69425666,25722,21.95,21.99,21.9,21.93
2025-12-10,0050,66717948,51254,63.7,64.2,63.65,64.05
2025-12-10,8039,65525319,44964,95.5,97.3,91.8,95.7
2025-12-10,2327,65282526,56181,241.0,248.5,238.5,245.5
2025-12-10,3706,64215945,77830,88.4,89.6,87.5,87.9
2025-12-10,6282,62326132,34740,40.15,43.45,39.8,40.85
2025-12-10,00637L,55670543,5905,20.35,20.35,19.8,19.89
2025-12-10,2409,54221862,8054,11.45,11.75,11.35,11.6
